Sub,Percept,Cond,dB,Rep,Mean,dur_1,dur_2,dur_3,dur_4,dur_5,dur_6,dur_7,dur_8,dur_9,dur_10,dur_11,dur_12,dur_13,dur_14,dur_15,dur_16,dur_17,dur_18,dur_19,dur_20
Sub001,SIM,db0.5,0.5,1,137.758774701554,137.758774701554,,,,,,,,,,,,,,,,,,,
Sub001,AM ,db0.5,0.5,1,41.2563700673079,41.2563700673079,,,,,,,,,,,,,,,,,,,
Sub001,SIM,db001,1,1,17.1745277611859,21.284567740048,18.847836310362,21.3104457876236,5.47987337817108,13.4755767304803,22.6488666204302,,,,,,,,,,,,,,
Sub001,AM ,db001,1,1,14.9413390502208,9.0722849863696,8.36137392639944,4.34359772547759,41.3602691291285,11.5691694837287,,,,,,,,,,,,,,,
Sub001,SIM,db002,2,1,10.329277325987,12.7021939400393,9.32691413184557,1.84877493893782,2.0577734549679,1.66574172508763,15.1490125794194,9.91446803241524,15.8563660895245,4.31748550194175,16.785428737689,23.9978914539888,,,,,,,,,
Sub001,AM ,db002,2,1,5.77530880751822,1.67677205440327,0.664370352168362,2.62981752880842,1.86677023873767,1.91667377748922,7.94749229625245,4.33010822778851,1.69778373304712,14.3873164525612,12.2346558607826,14.1766363606616,,,,,,,,,
Sub001,SIM,db004,4,1,2.87596052242407,2.87596052242407,,,,,,,,,,,,,,,,,,,
Sub001,AM ,db004,4,1,175.901907539632,175.901907539632,,,,,,,,,,,,,,,,,,,
Sub001,SIM,db006,6,1,4.30790028118528,0.231686637919665,4.84703850815185,2.25785820741794,8.58945682084004,1.60857552367179,4.00094344041054,8.61974282988513,,,,,,,,,,,,,
Sub001,AM ,db006,6,1,21.0831458932731,45.3108576806826,31.8466660721379,3.24120701347374,7.25650576104954,32.2022876104238,27.6041236141114,0.1203735010331,,,,,,,,,,,,,
Sub001,SIM,db0.5,0.5,2,11.3772863789503,30.5133647107737,6.59211904864242,7.82650801298814,10.1050468448157,12.4762545576095,10.1224259089713,8.68112323622199,10.3091607069418,5.76957438358795,,,,,,,,,,,
Sub001,AM ,db0.5,0.5,2,9.24206805121332,24.4477954418453,9.11550520736773,11.280770240021,16.3286133511092,1.86128057680389,2.04958082503072,7.25504424642486,1.59795452110393,,,,,,,,,,,,
Sub001,SIM,db001,1,2,12.4313931343275,12.6807030026494,29.4716672750965,4.56584258114526,9.68311469425271,8.9366072843477,13.884208328067,7.79760877473382,,,,,,,,,,,,,
Sub001,AM ,db001,1,2,15.131245841773,1.88117366425104,41.4352452143098,2.51865163406728,16.5140351597561,12.4209601599327,16.0174092183211,,,,,,,,,,,,,,
Sub001,SIM,db002,2,2,7.74841385885411,5.23839561879231,6.0105539576698,9.82364272575705,8.24971369582909,7.52538178701298,7.28419626640107,10.8131599832418,6.1228647483058,11.338728469445,5.07750133608624,,,,,,,,,,
Sub001,AM ,db002,2,2,9.9807331568139,2.24837376023106,18.2021557661501,30.1837925213822,15.585455619806,5.74999310303701,6.13000358642103,5.89218153833735,10.9683958690075,1.70595422854421,3.14102557522256,,,,,,,,,,
Sub001,SIM,db004,4,2,5.54636349861884,6.81320810159013,4.41792036349216,7.34602224864102,3.09521690788961,5.91028173613586,3.89127595102718,2.2720194372464,9.19261870956871,5.19914387835161,8.62588208951684,7.65561441677028,2.1371581431963,,,,,,,,
Sub001,AM ,db004,4,2,8.33428472766575,11.5636313826585,11.6801878155361,16.4431635696628,2.49219777026019,11.652851461226,1.77696055001206,5.91162584199083,2.44109736779819,17.421025600886,7.87045931208741,14.6517630241933,3.27671610880361,1.16402165453974,,,,,,,
Sub001,SIM,db006,6,2,2.70773382148861,4.2232505291413,3.80042369809371,2.93593266510879,1.1964203798525,2.65408104541257,1.96076975242158,1.20655538710571,1.34822895608204,1.34822895608204,1.38858613537195,4.28316557138623,4.51565225703916,3.48194054240275,4.29480636214385,4.42150646357732,2.26233610088684,3.12682809623902,2.03097795088979,3.06196584623831,0.613019734296813
Sub001,AM ,db006,6,2,6.19577297702615,32.3716382116145,2.09730909366181,3.43838926717035,0.955142792801325,1.30698415366578,6.25370366924881,1.23806263982397,1.41953457367481,1.56932634954319,1.49738909843518,25.6667159612412,3.41173972208117,26.1105791716845,3.68850747791203,0.945062640465494,1.31712044407459,1.18652147329385,1.37686097711048,1.8690988459939,
Sub001,SIM,db0.5,0.5,3,16.3731647929383,17.1405052554865,16.1035590254942,13.616733829188,21.152795964731,20.4016749676166,9.82371971511384,,,,,,,,,,,,,,
Sub001,AM ,db0.5,0.5,3,11.9326368790569,22.7484674306152,6.10065043175018,12.7136198021763,2.43053763592616,11.8628149105289,15.7397310633451,,,,,,,,,,,,,,
Sub001,SIM,db001,1,3,8.44141045784927,7.839209652926,10.8301464016777,6.82618529926731,18.0559064630643,7.05441126559617,5.05773143161059,8.18703986829678,5.82951893841891,7.69693428380924,7.03702097382575,,,,,,,,,,
Sub001,AM ,db001,1,3,9.34487902084939,1.17479439029921,9.95754871020381,6.02008908951757,29.4578781604932,5.00904592864208,2.34648546793778,13.6578256152579,12.2127257632692,10.7267525825118,2.8856445003612,,,,,,,,,,
Sub001,SIM,db002,2,3,5.45049522663511,1.87694951487083,3.61308517525049,7.2454561843947,6.25233614579702,7.32615995693732,3.85350914280707,3.71284028493847,4.71652743355298,6.57255284517396,8.43150738103304,2.43872417087186,7.14326532392897,7.67352438669968,,,,,,,
Sub001,AM ,db002,2,3,7.99220366784203,18.9134594718403,8.20383124702857,10.3988500997975,12.5087389335818,12.432405590197,12.7699237227944,5.66995881711046,2.45854925105323,1.79722831899562,7.34527673503544,1.97682042938231,2.61824282058205,6.80536224454772,,,,,,,
Sub001,SIM,db004,4,3,5.3248330311146,2.54726248302268,2.54894694599261,2.46850140858442,3.75759965149518,6.88323056323497,6.81992606455424,6.60650483076097,5.71763832581564,10.5738870065707,,,,,,,,,,,
Sub001,AM ,db004,4,3,14.444759708732,22.7767616608398,1.95808891885736,5.9478403523035,22.0716453331297,21.4547010663664,13.2415457666439,8.75229733032938,12.2752561981242,21.5247007519938,,,,,,,,,,,
Sub001,SIM,db006,6,3,4.54202191373724,2.95175365715477,4.88296591232029,5.65954568580491,3.6025228770668,5.75989136801763,4.39545198205906,,,,,,,,,,,,,,
Sub001,AM ,db006,6,3,21.5319689597244,27.2900083212662,18.4393490678194,23.1148626670265,34.7208773322154,6.94533916057298,11.1382469010186,29.0750992681515,,,,,,,,,,,,,
Sub002,SIM,db0.5,0.5,1,39.4287256593334,47.234231777742,5.92000485032895,72.5803464136106,31.980319595652,,,,,,,,,,,,,,,,
Sub002,AM ,db0.5,0.5,1,5.30055666512908,3.25137570357037,11.5474225567268,2.36930928356924,4.03411911664989,,,,,,,,,,,,,,,,
Sub002,SIM,db001,1,1,22.4859633646143,6.13116580491987,61.7637876710523,42.5491971614028,0.170679629963161,1.81498655573341,,,,,,,,,,,,,,,
Sub002,AM ,db001,1,1,15.9762996284624,2.80894128727505,2.14720942452368,1.84645242667284,57.1025953753779,,,,,,,,,,,,,,,,
Sub002,SIM,db002,2,1,17.6079132013438,2.61646597038362,7.45233749311137,18.5806652778638,13.3116689560311,60.5309198880832,3.15542162258953,,,,,,,,,,,,,,
Sub002,AM ,db002,2,1,11.9492454615311,11.8621418952343,8.99760915968091,11.8219553756862,1.76030326107684,33.3242855868866,3.92917749062144,,,,,,,,,,,,,,
Sub002,SIM,db004,4,1,2.52592039172153,1.40871307798898,3.82886356651943,2.34018453065619,,,,,,,,,,,,,,,,,
Sub002,AM ,db004,4,1,57.2265422518664,136.002014234049,23.4538480884512,12.2237644330989,,,,,,,,,,,,,,,,,
Sub002,SIM,db006,6,1,0.683375495699693,0.683375495699693,,,,,,,,,,,,,,,,,,,
Sub002,AM ,db006,6,1,88.7804035782083,0.512559530416183,177.048247626,,,,,,,,,,,,,,,,,,
Sub002,SIM,db0.5,0.5,2,33.8461402187911,70.4095695845845,13.8281780404541,29.5423861696327,21.6044270804932,,,,,,,,,,,,,,,,
Sub002,AM ,db0.5,0.5,2,10.8377989833557,1.61818828645482,6.58329767229134,8.36220861934362,26.787501355333,,,,,,,,,,,,,,,,
Sub002,SIM,db001,1,2,14.2768307106696,8.34985792255793,14.4407284604631,13.4071046420095,7.29556406573101,9.63328622012432,32.9654856713178,13.173439056829,14.9491796463244,,,,,,,,,,,,
Sub002,AM ,db001,1,2,8.91983721517032,5.40914678469926,1.49530846106609,15.2531195125039,11.4701409610971,11.4800902315255,12.1493138002779,5.18174075502247,,,,,,,,,,,,,
Sub002,SIM,db002,2,2,36.5854840096315,104.273974325333,35.5826147125381,2.55881024497376,3.9265367556809,,,,,,,,,,,,,,,,
Sub002,AM ,db002,2,2,7.43672621686505,3.31744893199721,2.25359780888357,2.41841630326599,21.7574418233135,,,,,,,,,,,,,,,,
Sub002,SIM,db004,4,2,6.94978953034588,12.332492973117,2.38840873906247,4.1347871917942,7.20508264486671,8.68817610288897,,,,,,,,,,,,,,,
Sub002,AM ,db004,4,2,28.3152200259581,48.7168267296784,2.48864150355075,26.3934239540831,3.26124670148693,60.7159612409914,,,,,,,,,,,,,,,
Sub002,SIM,db006,6,2,6.4575145461763,1.64587558391577,4.69638092280638,2.75995424265875,16.7278474353243,,,,,,,,,,,,,,,,
Sub002,AM ,db006,6,2,30.5908691905917,126.972504855142,6.9743323900002,7.19596774659203,10.0251861057304,1.78635485549421,,,,,,,,,,,,,,,
Sub002,SIM,db0.5,0.5,3,19.7341563923301,17.3607817499287,19.1935704904918,41.6175120632706,13.7371769414312,2.006911077935,24.4889860309231,,,,,,,,,,,,,,
Sub002,AM ,db0.5,0.5,3,8.66149205006981,0.836163440706514,5.2859695879215,16.5774054201793,11.7455142472008,3.94373938589342,11.8452837923924,10.3963684761948,,,,,,,,,,,,,
Sub002,SIM,db001,1,3,27.0855127202458,2.56543870781024,52.5538024080997,12.5437681285875,40.6790416364856,,,,,,,,,,,,,,,,
Sub002,AM ,db001,1,3,17.6071547492488,2.17294536257759,50.1630153394872,6.23189033892595,11.8607679560046,,,,,,,,,,,,,,,,
Sub002,SIM,db002,2,3,34.5651706084145,8.68298060445522,30.2050101465557,30.7045148483594,68.6681768342878,,,,,,,,,,,,,,,,
Sub002,AM ,db002,2,3,6.38380758242511,1.59215369385311,5.1248776991979,16.012903416211,2.80529552043845,,,,,,,,,,,,,,,,
Sub002,SIM,db004,4,3,26.3188477858391,20.6216242572918,44.0172385585793,14.317680541646,,,,,,,,,,,,,,,,,
Sub002,AM ,db004,4,3,33.1551106711316,31.7469055090387,26.73392221637,40.9845042879861,,,,,,,,,,,,,,,,,
Sub002,SIM,db006,6,3,26.7935344338111,49.3557306065413,4.23133826108096,,,,,,,,,,,,,,,,,,
Sub002,AM ,db006,6,3,41.8598635449192,103.311566945133,2.40218181421551,19.8658418754094,,,,,,,,,,,,,,,,,
Sub003,SIM,db0.5,0.5,1,177.691220124963,177.691220124963,,,,,,,,,,,,,,,,,,,
Sub003,AM ,db0.5,0.5,1,0,0,,,,,,,,,,,,,,,,,,,
Sub003,SIM,db001,1,1,85.1894425229727,34.5262481386745,135.852636907271,,,,,,,,,,,,,,,,,,
Sub003,AM ,db001,1,1,3.77582021824577,5.28374268060384,2.2678977558877,,,,,,,,,,,,,,,,,,
Sub003,SIM,db002,2,1,49.9457996327283,96.1492704502018,45.7352106016484,7.9529178463348,,,,,,,,,,,,,,,,,
Sub003,AM ,db002,2,1,7.0064678857587,2.31771199222942,7.86729013454146,7.24057307976318,10.6002963365007,,,,,,,,,,,,,,,,
Sub003,SIM,db004,4,1,14.8820122760341,2.76986766544707,23.4867399199719,13.4868165863754,15.4685927576873,15.8868670129806,18.1931897137424,,,,,,,,,,,,,,
Sub003,AM ,db004,4,1,14.5344921294505,31.9882017141197,23.3488202676459,11.9418409945204,10.0228908559114,7.18579926490071,2.71939967960503,,,,,,,,,,,,,,
Sub003,SIM,db006,6,1,0,0,,,,,,,,,,,,,,,,,,,
Sub003,AM ,db006,6,1,177.98234459335,177.98234459335,,,,,,,,,,,,,,,,,,,
Sub003,SIM,db0.5,0.5,2,177.989242644997,177.989242644997,,,,,,,,,,,,,,,,,,,
Sub003,AM ,db0.5,0.5,2,0,0,,,,,,,,,,,,,,,,,,,
Sub003,SIM,db001,1,2,65.4411872450198,55.6095139478321,75.2728605422076,,,,,,,,,,,,,,,,,,
Sub003,AM ,db001,1,2,15.5619207917362,32.2554348139893,5.35882603526898,9.07150152595023,,,,,,,,,,,,,,,,,
